Votes,Average Cost for two,Has Table booking,Has Online delivery,Price range,Rating
314,1100,1,0,3,4.8
591,1200,1,0,3,4.5
270,4000,1,0,4,4.4
365,1500,0,0,4,4.9
229,1500,1,0,4,4.8
336,1000,0,0,3,4.4
520,2000,1,0,4,4.0
677,2000,1,0,4,4.2
621,6000,1,0,4,4.9
532,1100,1,0,3,4.8
1070,800,0,0,3,4.9
488,900,1,0,3,4.2
294,800,0,0,3,4.8
458,1000,1,0,3,4.2
223,700,0,0,3,4.3
29,800,0,0,3,3.6
72,850,0,0,3,4.0
211,1200,1,0,3,4.5
118,600,0,0,2,4.5
392,1500,1,0,4,4.4
535,3000,1,0,4,4.7
618,1800,1,0,4,4.5
6,55,0,0,2,3.0
9,30,0,0,1,3.8
11,45,0,0,2,3.7
11,60,0,0,3,3.8
11,50,0,0,2,3.2
10,80,0,0,3,3.1
8,90,0,0,3,3.7
5,200,0,0,4,3.7
2,30,0,0,1,1.0
12,150,0,0,4,4.1
9,100,0,0,4,3.1
9,60,0,0,3,3.6
29,100,0,0,4,4.3
17,230,0,0,4,4.2
5,100,0,0,4,3.6
10,150,0,0,4,4.0
6,240,0,0,4,3.2
30,230,0,0,4,4.9
8,350,0,0,4,3.3
9,50,0,0,2,3.6
7,140,0,0,4,4.0
29,100,0,0,4,4.8
24,60,0,0,3,4.7
29,90,0,0,3,4.5
11,170,0,0,4,4.2
19,60,0,0,3,4.8
40,100,0,0,4,4.9
21,90,0,0,3,4.6
49,120,0,0,4,4.9
21,170,0,0,4,4.6
14,90,0,0,3,4.3
5,150,0,0,4,4.0
25,250,0,0,4,4.6
13,120,0,0,4,4.4
7,40,0,0,2,4.2
8,250,0,0,4,4.2
1,70,0,0,3,1.0
44,300,0,0,4,4.7
24,85,0,0,3,4.6
10,80,0,0,3,4.3
49,250,0,0,4,4.5
17,250,0,0,4,4.4
5,70,0,0,3,3.1
15,100,0,0,4,4.1
59,300,0,0,4,4.8
30,120,0,0,4,4.6
5,75,0,0,3,3.9
0,55,0,0,2,1.0
73,200,0,0,4,3.4
9,120,0,0,4,3.5
39,300,0,0,4,4.3
12,230,0,0,4,3.9
68,120,0,0,4,4.3
46,150,0,0,4,4.3
37,400,0,0,4,4.4
2,65,0,0,3,1.0
2,50,0,0,2,1.0
22,100,0,0,4,4.4
58,70,0,0,3,4.6
11,120,0,0,4,4.1
35,25,0,0,2,3.3
25,10,0,0,1,3.3
34,0,0,0,1,3.4
45,0,0,0,1,3.4
26,10,0,0,1,3.4
36,0,0,0,1,3.4
67,10,0,0,1,3.5
141,10,0,0,1,3.9
147,25,0,0,2,3.7
51,70,0,0,4,3.5
88,25,0,0,2,3.6
153,10,0,0,1,3.8
160,10,0,0,1,3.9
57,25,0,0,2,3.5
58,25,0,0,2,3.5
115,40,0,0,3,3.6
51,40,0,0,3,3.5
250,40,0,0,3,3.8
117,10,0,0,1,3.7
20,10,0,0,1,3.4
25,20,0,0,2,3.5
1821,40,0,0,3,4.5
849,10,0,0,1,4.5
917,10,0,0,1,4.6
439,10,0,0,1,3.9
289,10,0,0,1,3.7
558,10,0,0,1,4.3
613,10,0,0,1,4.2
353,25,0,0,2,4.0
387,25,0,0,2,4.1
755,40,0,0,3,4.3
800,10,0,0,1,4.2
350,10,0,0,1,4.1
464,40,0,0,3,4.1
550,25,0,0,2,4.2
543,10,0,0,1,4.1
465,40,0,0,3,4.1
546,10,0,0,1,4.4
1098,10,0,0,1,4.4
579,25,0,0,2,4.2
374,10,0,0,1,4.1
717,40,0,0,3,4.6
548,40,0,0,3,4.9
631,25,0,0,2,4.5
372,10,0,0,1,3.9
201,25,0,0,2,3.9
332,40,0,0,3,3.8
304,25,0,0,2,3.5
368,40,0,0,3,4.3
430,25,0,0,2,4.1
433,25,0,0,2,4.4
380,10,0,0,1,4.0
456,25,0,0,2,4.0
647,40,0,0,3,4.2
360,40,0,0,3,4.0
227,25,0,0,2,4.0
290,25,0,0,2,3.9
270,10,0,0,1,4.1
326,25,0,0,2,4.0
317,35,0,0,3,4.3
300,10,0,0,1,4.2
21,20,0,0,2,3.2
237,20,0,0,2,4.6
879,25,0,0,2,4.5
615,25,0,0,2,4.6
879,25,0,0,2,4.5
379,70,0,0,4,3.9
303,10,0,0,1,4.3
538,70,0,0,4,4.1
334,10,0,0,1,4.2
555,25,0,0,2,4.3
823,10,0,0,1,4.4
550,25,0,0,2,4.1
650,25,0,0,2,4.4
410,10,0,0,1,4.3
660,10,0,0,1,4.4
360,25,0,0,2,4.4
340,40,0,0,3,4.0
393,25,0,0,2,4.1
422,10,0,0,1,4.3
435,40,0,0,3,4.0
369,25,0,0,2,4.0
487,40,0,0,3,4.4
98,40,0,0,3,3.7
365,40,0,0,3,4.1
190,10,0,0,1,4.1
429,40,0,0,3,4.1
430,25,0,0,2,4.4
186,25,0,0,2,4.2
220,10,0,0,1,4.2
347,10,0,0,1,4.2
161,25,0,0,2,3.8
160,25,0,0,2,4.1
820,10,0,0,1,4.9
488,10,0,0,1,4.5
253,25,0,0,2,3.6
220,40,0,0,3,3.8
485,25,0,0,2,4.3
428,40,0,0,3,4.3
294,25,0,0,2,4.1
380,40,0,0,3,4.0
259,25,0,0,2,4.2
433,25,0,0,2,4.7
176,25,0,0,2,3.7
96,10,0,0,1,4.3
6,25,0,0,2,3.1
33,10,0,0,1,3.3
489,25,0,0,2,4.6
345,25,0,0,2,4.5
149,25,0,0,2,3.8
330,25,0,0,2,3.9
247,40,0,0,3,3.9
123,10,0,0,1,3.7
109,40,0,0,3,3.6
134,40,0,0,3,3.7
722,40,0,0,3,4.2
213,25,0,0,2,4.3
335,25,0,0,2,4.0
353,25,0,0,2,4.0
170,0,0,0,1,4.0
192,25,0,0,2,4.1
302,40,0,0,3,4.1
355,10,0,0,1,4.2
287,25,0,0,2,4.3
264,40,0,0,3,4.0
235,40,0,0,3,4.4
6,25,0,0,2,3.0
38,25,0,0,2,3.7
122,10,0,0,1,4.4
207,25,0,0,2,4.4
66,10,0,0,1,3.9
249,10,0,0,1,4.9
63,25,0,0,2,3.8
145,40,0,0,3,3.8
83,10,0,0,1,3.8
116,25,0,0,2,3.7
122,10,0,0,1,4.1
142,10,0,0,1,4.1
114,10,0,0,1,4.1
214,25,0,0,2,4.6
116,10,0,0,1,4.3
111,25,0,0,2,4.2
25,10,0,0,1,3.7
128,10,0,0,1,4.1
244,10,0,0,1,4.3
112,10,0,0,1,4.2
144,10,0,0,1,4.1
166,25,0,0,2,4.6
208,40,0,0,3,4.5
136,25,0,0,2,3.9
85,10,0,0,1,4.0
117,25,0,0,2,4.1
53,25,0,0,2,3.4
474,25,0,0,2,4.9
125,10,0,0,1,3.9
201,70,0,0,4,3.7
2,25,0,0,2,1.0
3,25,0,0,2,1.0
167,0,0,0,1,4.3
112,25,0,0,2,4.0
256,25,0,0,2,4.1
123,10,0,0,1,4.3
199,25,0,0,2,4.0
157,25,0,0,2,4.1
100,25,0,0,2,4.1
141,40,0,0,3,4.2
197,25,0,0,2,4.2
1025,25,0,0,2,4.5
570,25,0,0,2,4.9
674,40,0,0,3,4.5
496,25,0,0,2,4.1
411,25,0,0,2,4.0
113,25,0,0,2,3.2
